watershed,action,start_year,end_year,units_of_effort,scenario,nick_name
Stanislaus River,3,1996,1996,1,12,Mike Beakes
Stanislaus River,3,1997,1997,1,12,Mike Beakes
Stanislaus River,3,1998,1998,1,12,Mike Beakes
Stanislaus River,3,1999,1999,1,12,Mike Beakes
Upper Sacramento River,3,1980,1980,1,12,Mike Beakes
Upper Sacramento River,3,1981,1981,1,12,Mike Beakes
Upper Sacramento River,3,1982,1982,1,12,Mike Beakes
Upper Sacramento River,3,1983,1983,1,12,Mike Beakes
Upper Sacramento River,3,1984,1984,1,12,Mike Beakes
Upper Sacramento River,3,1985,1985,1,12,Mike Beakes
Upper Sacramento River,3,1986,1986,1,12,Mike Beakes
Upper Sacramento River,3,1987,1987,1,12,Mike Beakes
Upper Sacramento River,3,1988,1988,1,12,Mike Beakes
Upper Sacramento River,3,1989,1989,1,12,Mike Beakes
Upper Sacramento River,3,1990,1990,1,12,Mike Beakes
Upper Sacramento River,3,1991,1991,1,12,Mike Beakes
Upper Sacramento River,3,1992,1992,1,12,Mike Beakes
Upper Sacramento River,3,1993,1993,1,12,Mike Beakes
Upper Sacramento River,3,1994,1994,1,12,Mike Beakes
Upper Sacramento River,3,1995,1995,1,12,Mike Beakes
Upper Sacramento River,3,1996,1996,1,12,Mike Beakes
Upper Sacramento River,3,1997,1997,1,12,Mike Beakes
Upper Sacramento River,3,1998,1998,1,12,Mike Beakes
Upper Sacramento River,3,1999,1999,1,12,Mike Beakes
American River,3,1980,1980,1,13,Robyn2
American River,3,1981,1981,1,13,Robyn2
American River,3,1982,1982,1,13,Robyn2
American River,3,1983,1983,1,13,Robyn2
American River,2,1984,1984,1,13,Robyn2
American River,3,1985,1985,1,13,Robyn2
American River,3,1986,1986,1,13,Robyn2
American River,3,1987,1987,1,13,Robyn2
American River,3,1988,1988,1,13,Robyn2
American River,3,1989,1989,1,13,Robyn2
American River,3,1990,1990,1,13,Robyn2
American River,3,1991,1991,1,13,Robyn2
American River,3,1992,1992,1,13,Robyn2
American River,3,1993,1993,1,13,Robyn2
American River,3,1994,1994,1,13,Robyn2
American River,3,1995,1995,1,13,Robyn2
American River,3,1996,1996,1,13,Robyn2
American River,3,1997,1997,1,13,Robyn2
American River,3,1998,1998,1,13,Robyn2
American River,3,1999,1999,1,13,Robyn2
Calaveras River,5,1980,1980,1,13,Robyn2
Calaveras River,5,1981,1981,1,13,Robyn2
Calaveras River,5,1982,1982,1,13,Robyn2
Calaveras River,5,1983,1983,1,13,Robyn2
Calaveras River,5,1984,1984,1,13,Robyn2
Calaveras River,5,1985,1985,1,13,Robyn2
Calaveras River,5,1986,1986,1,13,Robyn2
Calaveras River,5,1987,1987,1,13,Robyn2
Calaveras River,5,1988,1988,1,13,Robyn2
Calaveras River,5,1989,1989,1,13,Robyn2
Calaveras River,5,1990,1990,1,13,Robyn2
Calaveras River,5,1991,1991,1,13,Robyn2
Calaveras River,5,1992,1992,1,13,Robyn2
Calaveras River,5,1993,1993,1,13,Robyn2
Calaveras River,5,1994,1994,1,13,Robyn2
Calaveras River,5,1995,1995,1,13,Robyn2
Calaveras River,5,1996,1996,1,13,Robyn2
Calaveras River,5,1997,1997,1,13,Robyn2
Calaveras River,5,1998,1998,1,13,Robyn2
Calaveras River,5,1999,1999,1,13,Robyn2
Lower Sacramento River,4,1980,1980,1,13,Robyn2
Lower Sacramento River,3,1981,1981,1,13,Robyn2
Lower Sacramento River,3,1982,1982,1,13,Robyn2
Lower Sacramento River,3,1983,1983,1,13,Robyn2
Lower Sacramento River,4,1984,1984,1,13,Robyn2
Lower Sacramento River,3,1985,1985,1,13,Robyn2
Lower Sacramento River,3,1986,1986,1,13,Robyn2
Lower Sacramento River,4,1987,1987,1,13,Robyn2
Lower Sacramento River,3,1988,1988,1,13,Robyn2
Lower Sacramento River,4,1989,1989,1,13,Robyn2
Lower Sacramento River,3,1990,1990,1,13,Robyn2
Lower Sacramento River,4,1991,1991,1,13,Robyn2
Lower Sacramento River,4,1992,1992,1,13,Robyn2
Lower Sacramento River,3,1993,1993,1,13,Robyn2
Lower Sacramento River,4,1994,1994,1,13,Robyn2
Lower Sacramento River,4,1995,1995,1,13,Robyn2
Lower Sacramento River,4,1996,1996,1,13,Robyn2
Lower Sacramento River,3,1997,1997,1,13,Robyn2
Lower Sacramento River,4,1998,1998,1,13,Robyn2
Lower Sacramento River,3,1999,1999,1,13,Robyn2
Stanislaus River,3,1980,1980,1,13,Robyn2
Stanislaus River,3,1981,1981,1,13,Robyn2
Stanislaus River,3,1982,1982,1,13,Robyn2
Stanislaus River,3,1983,1983,1,13,Robyn2
Stanislaus River,3,1984,1984,1,13,Robyn2
Stanislaus River,3,1985,1985,1,13,Robyn2
Stanislaus River,3,1986,1986,1,13,Robyn2
Stanislaus River,3,1987,1987,1,13,Robyn2
Stanislaus River,3,1988,1988,1,13,Robyn2
Stanislaus River,3,1989,1989,1,13,Robyn2
Stanislaus River,3,1990,1990,1,13,Robyn2
Stanislaus River,3,1991,1991,1,13,Robyn2
Stanislaus River,3,1992,1992,1,13,Robyn2
Stanislaus River,3,1993,1993,1,13,Robyn2
Stanislaus River,3,1994,1994,1,13,Robyn2
Stanislaus River,3,1995,1995,1,13,Robyn2
Stanislaus River,3,1996,1996,1,13,Robyn2
Stanislaus River,3,1997,1997,1,13,Robyn2
Stanislaus River,3,1998,1998,1,13,Robyn2
Stanislaus River,3,1999,1999,1,13,Robyn2
Upper Sacramento River,3,1980,1980,1,13,Robyn2
Upper Sacramento River,3,1981,1981,1,13,Robyn2
Upper Sacramento River,3,1982,1982,1,13,Robyn2
Upper Sacramento River,3,1983,1983,1,13,Robyn2
Upper Sacramento River,3,1984,1984,1,13,Robyn2
Upper Sacramento River,3,1985,1985,1,13,Robyn2
Upper Sacramento River,3,1986,1986,1,13,Robyn2
Upper Sacramento River,3,1987,1987,1,13,Robyn2
Upper Sacramento River,3,1988,1988,1,13,Robyn2
Upper Sacramento River,3,1989,1989,1,13,Robyn2
Upper Sacramento River,3,1990,1990,1,13,Robyn2
Upper Sacramento River,3,1991,1991,1,13,Robyn2
Upper Sacramento River,3,1992,1992,1,13,Robyn2
Upper Sacramento River,3,1993,1993,1,13,Robyn2
Upper Sacramento River,3,1994,1994,1,13,Robyn2
Upper Sacramento River,3,1995,1995,1,13,Robyn2
Upper Sacramento River,3,1996,1996,1,13,Robyn2
Upper Sacramento River,3,1997,1997,1,13,Robyn2
Upper Sacramento River,3,1998,1998,1,13,Robyn2
Upper Sacramento River,3,1999,1999,1,13,Robyn2
